Feature,Data Type,Missing Count,Missing Percentage,Unique Values
FLAG_DOCUMENT_13,int64,0,0.0,2
FLAG_DOCUMENT_14,int64,0,0.0,2
FLAG_DOCUMENT_15,int64,0,0.0,2
FLAG_DOCUMENT_16,int64,0,0.0,2
FLAG_DOCUMENT_17,int64,0,0.0,2
FLAG_DOCUMENT_18,int64,0,0.0,2
FLAG_DOCUMENT_19,int64,0,0.0,2
FLAG_DOCUMENT_20,int64,0,0.0,2
FLAG_DOCUMENT_21,int64,0,0.0,2
AMT_REQ_CREDIT_BUREAU_HOUR,float64,41519,13.5,6
AMT_REQ_CREDIT_BUREAU_DAY,float64,41519,13.5,10
AMT_REQ_CREDIT_BUREAU_WEEK,float64,41519,13.5,10
AMT_REQ_CREDIT_BUREAU_MON,float64,41519,13.5,25
AMT_REQ_CREDIT_BUREAU_QRT,float64,41519,13.5,12
AMT_REQ_CREDIT_BUREAU_YEAR,float64,41519,13.5,26
